Id,Start,Name,Impact,Currency
ce4a00e7-f7d8-43d3-b858-eaa918c6d431,06/20/2018 13:30:00,ECB's President Draghi speech,HIGH,EUR
75332dd0-c14c-4b69-b476-4be28497adc2,06/20/2018 13:30:00,Fed's Chair Powell speech,HIGH,USD
34fbf62f-9637-4a6e-b1ef-d874e1f0e2fe,06/21/2018 20:30:00,Bank Stress Test Info,HIGH,USD
f6a29771-afaf-439b-a52e-604f7081d3ff,06/26/2018 12:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
df4ccc51-c439-4062-8517-128f551cb28f,06/28/2018 12:30:00,Core Personal Consumption Expenditures (QoQ),HIGH,USD
55ac28ce-65ee-43c6-a1f7-0545b48305bd,06/28/2018 12:30:00,Gross Domestic Product Annualized,HIGH,USD
0b502304-1175-4f08-a32d-7df7675c383e,06/29/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
7f2acc02-fe34-448c-b216-d8b5741d63df,06/29/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
f9e855ba-914b-4170-aed1-a2b37f02770d,06/29/2018 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
5c30b19d-883c-41a8-8bef-0c88aeec9552,07/02/2018 14:00:00,ISM Manufacturing PMI,HIGH,USD
9b709954-0fff-485c-bacb-95e977f3b061,07/04/2018 00:00:00,Independence Day,NONE,USD
b2ae74d9-3b23-432e-a6ba-41d192c39097,07/05/2018 18:00:00,FOMC Minutes,HIGH,USD
cf58f9de-c415-4b35-8f7b-c498f2d87c07,07/06/2018 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
60fe42f5-26cc-4a3b-9562-84d71cc8fcbb,07/06/2018 12:30:00,Nonfarm Payrolls,HIGH,USD
8e7ce0c7-b00b-44b4-ba01-fae5cdd8f631,07/09/2018 13:00:00,ECB's President Draghi speech,HIGH,EUR
e9c97a01-893d-48f9-8de5-4577e47f16d4,07/09/2018 15:00:00,ECB's President Draghi speech,HIGH,EUR
ab6dd7e8-8440-4e5d-a14c-4a5e6e2e186c,07/11/2018 07:00:00,ECB's President Draghi speech,HIGH,EUR
da313373-9744-4643-8cfa-32da4e8e533b,07/12/2018 11:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
073d0db5-a637-441b-9abf-5fb28f6c4eb8,07/12/2018 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
43b5e322-5f98-45c8-8243-7576915eeb35,07/12/2018 17:30:00,Fed's Chair Powell speech,HIGH,USD
5b70a7b8-40a0-463a-a2fb-82e6c4c43010,07/16/2018 10:15:00,Trump - Putin meeting,HIGH,USD
c37e0b51-cfcf-4834-889e-215a68d120e4,07/16/2018 12:30:00,Retail Sales Control Group,HIGH,USD
27c6eac9-c4c2-41c9-a175-9334ca054d71,07/16/2018 12:30:00,Retail Sales ex Autos (MoM),HIGH,USD
b49e1cc9-30c2-4bbb-a2d9-b8ca21766538,07/17/2018 14:00:00,Fed's Chair Powell speech,HIGH,USD
ce3cf3a7-3570-43f3-af26-6bcdec3d97b0,07/18/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
b5e1c9fc-6eb1-4233-b7ef-999e029f177a,07/18/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
45b51509-ab2e-4963-97e8-a506283d65fa,07/18/2018 14:00:00,Fed's Chair Powell speech,HIGH,USD
5e55972c-f3b2-4cae-8796-37c35e2290aa,07/25/2018 17:30:00,Trump - Juncker meeting,HIGH,USD
23271a38-9e04-4428-9b91-a71080dc6b9a,07/26/2018 11:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
2003341f-464e-411e-969f-e946a2681e97,07/26/2018 11:45:00,ECB Rate On Deposit Facility,HIGH,EUR
646c3a53-bc24-42db-9309-aaa90da416c7,07/26/2018 12:30:00,ECB Press Conference,HIGH,EUR
f728d1f6-a40d-43d3-aa00-ca69d9f0b2ac,07/26/2018 12:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
7fcddc6f-9891-47ee-b113-7a1634c13ee0,07/27/2018 12:30:00,Core Personal Consumption Expenditures (QoQ),HIGH,USD
c43cc229-c678-4ea4-8dde-30d6b44f4cde,07/27/2018 12:30:00,Gross Domestic Product Annualized,HIGH,USD
9f4b2604-26eb-4c1f-af54-389bd0077a80,07/31/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
3ae180ad-2027-4867-831e-fe215b088219,07/31/2018 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
a68669bf-28ad-48b9-b78c-333d28ea5715,07/31/2018 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
4f1e66e4-3c2d-4812-84ea-08fb914decff,07/31/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
84262786-150c-49dc-8071-eecd8b0f2cdc,07/31/2018 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
fac82fb1-7a02-43f3-bdbd-58040e7d4f25,08/01/2018 14:00:00,ISM Manufacturing PMI,HIGH,USD
5f753124-b90a-4c5d-84cb-6bdccfcd92a3,08/01/2018 18:00:00,Fed Interest Rate Decision,HIGH,USD
925391db-8abc-40f5-a6b5-7192556d33f7,08/01/2018 18:00:00,Fed Monetary Policy Statement,HIGH,USD
97f24882-0e8a-4631-9d7c-6215f09d0356,08/03/2018 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
fbbc4c91-9b8f-4298-aed8-73a46f12f32a,08/03/2018 12:30:00,Nonfarm Payrolls,HIGH,USD
f26d298f-e0da-4df2-a5dc-8de8db8a6d5b,08/10/2018 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
ba5f32ed-ecc2-4326-82f3-b723389ea524,08/14/2018 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
681ab11b-241e-4320-ba3f-9930f52ead87,08/14/2018 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
662346d8-847b-457f-b7f1-ebf6c81aef4d,08/15/2018 12:30:00,Retail Sales Control Group,HIGH,USD
56ce559b-d2aa-4e19-8284-e1e1b4ae8813,08/15/2018 12:30:00,Retail Sales ex Autos (MoM),HIGH,USD
da95ba81-9625-4820-80b9-3105e4d48637,08/17/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
e5c4c599-9e67-4f36-a1a8-e3de73a636df,08/17/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
5added6b-c91c-4202-9cbb-7c6ef23f193d,08/22/2018 18:00:00,FOMC Minutes,HIGH,USD
e0a98e25-b639-4606-a3d1-b62e80ae1056,08/23/2018 00:00:00,Jackson Hole Symposium,HIGH,USD
4f7c4106-23dd-4837-a600-b5988be719a5,08/23/2018 11:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
f8ce966c-a855-4fc5-9427-5afe219da53e,08/24/2018 00:00:00,Jackson Hole Symposium,HIGH,USD
50af8226-3e24-4a57-9961-c04e4f68671b,08/24/2018 12:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
5320f8b3-87cb-4dd0-a0ca-29b81a149353,08/24/2018 14:00:00,Fed's Chair Powell speech,HIGH,USD
bad6fe6c-4046-43d5-af1a-3932ee91eaf3,08/25/2018 00:00:00,Jackson Hole Symposium,HIGH,USD
cb75a5ce-b663-4364-b8d1-380011c49851,08/29/2018 12:30:00,Core Personal Consumption Expenditures (QoQ),HIGH,USD
78413f9e-19df-4160-b206-21eda55a719b,08/29/2018 12:30:00,Gross Domestic Product Annualized,HIGH,USD
e61be0ca-0bd2-4c93-a57a-3144ed2e0185,08/30/2018 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
5c65cf58-bd1c-433c-9c31-0ec4593759d4,08/31/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
bbedc2ed-1799-4ece-96fa-5bb881e719bd,08/31/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
6e5ea811-7d69-4471-b732-d1353f153205,09/03/2018 00:00:00,Labor Day,NONE,USD
01e5e727-5bee-4c08-b6d4-747a4852d2c6,09/04/2018 14:00:00,ISM Manufacturing PMI,HIGH,USD
4df10a51-a51c-4f16-bcdc-716ff0f8a4f8,09/07/2018 09:00:00,Gross Domestic Product s.a. (QoQ),HIGH,EUR
336ae31f-af9b-485c-8e34-1086d80ffe3a,09/07/2018 09:00:00,Gross Domestic Product s.a. (YoY),HIGH,EUR
b3b6816e-b437-4ca0-bdbd-07daf0078d8e,09/07/2018 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
5d00e1e6-94f5-49e5-abe9-d30fbb7c523c,09/07/2018 12:30:00,Nonfarm Payrolls,HIGH,USD
94b9ac7f-6b30-4015-9d28-4012bb421f4b,09/13/2018 11:45:00,ECB Main Refinancing Operations Rate,HIGH,EUR
7ef6a847-9a65-4f23-b670-9761ef97b1cd,09/13/2018 11:45:00,ECB Rate On Deposit Facility,HIGH,EUR
